date,customer_id,revenue,product,quantity,region
2024-01-01,C001,1250.50,Widget A,5,North
2024-01-02,C002,890.25,Widget B,3,South
2024-01-03,C003,2150.75,Widget A,10,East
2024-01-04,C001,670.00,Widget C,2,North
2024-01-05,C004,1890.50,Widget B,7,West
2024-01-06,C002,1120.25,Widget A,4,South
2024-01-07,C005,3250.00,Widget C,12,North
2024-01-08,C003,890.75,Widget B,3,East
2024-01-09,C006,1450.50,Widget A,6,West
2024-01-10,C001,2100.25,Widget B,8,North
2024-01-11,C004,780.00,Widget C,3,West
2024-01-12,C007,1670.50,Widget A,7,South
2024-01-13,C002,2890.75,Widget B,11,South
2024-01-14,C005,1230.25,Widget C,5,North
2024-01-15,C008,3150.00,Widget A,14,East
2024-01-16,C003,890.50,Widget B,3,East
2024-01-17,C006,1890.25,Widget C,8,West
2024-01-18,C009,2340.75,Widget A,10,South
2024-01-19,C001,1450.00,Widget B,5,North
2024-01-20,C004,2670.50,Widget C,11,West
2024-01-21,C007,1120.25,Widget A,4,South
2024-01-22,C002,890.75,Widget B,3,South
2024-01-23,C010,3450.00,Widget A,15,East
2024-01-24,C005,1780.50,Widget C,7,North
2024-01-25,C008,2100.25,Widget B,8,East
2024-01-26,C003,1230.00,Widget A,5,East
2024-01-27,C006,890.75,Widget C,3,West
2024-01-28,C009,2890.50,Widget B,11,South
2024-01-29,C001,1670.25,Widget A,7,North
2024-01-30,C011,3250.00,Widget C,13,West
2024-01-31,C004,1450.75,Widget B,6,West
2024-02-01,C007,2340.50,Widget A,10,South
2024-02-02,C002,1120.25,Widget C,4,South
2024-02-03,C012,890.00,Widget B,3,North
2024-02-04,C005,3150.75,Widget A,14,North
2024-02-05,C008,1890.50,Widget C,8,East
2024-02-06,C003,2100.25,Widget B,8,East
2024-02-07,C013,1450.00,Widget A,6,West
2024-02-08,C006,2670.75,Widget C,11,West
2024-02-09,C009,1230.50,Widget B,5,South
2024-02-10,C001,890.25,Widget A,3,North
2024-02-11,C014,3450.00,Widget C,15,South
2024-02-12,C004,1780.75,Widget B,7,West
2024-02-13,C007,2890.50,Widget A,11,South
2024-02-14,C002,1670.25,Widget C,7,South
2024-02-15,C015,3250.00,Widget B,13,East
